177878,1,2
177875,1,2
177791,1,2
177790,1,2
177789,1,2
177786,1,2
177785,1,2
177783,1,2
177782,1,2
177776,1,2
177730,1,2
177719,1,2
177718,1,2
177515,1,2
177509,1,198
177507,51,177
177452,1,154
177449,56,439
177319,1,363
177318,1,408
177317,1,62
177222,53,333
177201,60,792
177183,4,219
177141,1,622
177140,1,559
177139,1,628
177138,55,114
177131,49,134
177096,1,185
177095,49,205
177088,57,91
177074,52,762
177053,54,730
176933,1,434
176929,1,324
176928,1,122
176889,1,91
176886,1,682
176885,67,152
176868,1,491
176860,1,457
176850,1,305
176848,1,29
176844,1,113
176842,1,28
176841,42,241
176807,1,451
176805,1,103
176801,1,173
176799,1,27
176797,1,26
176796,1,24
176795,38,105
176771,57,148
176765,84,126
176702,1,599
176701,1,146
176697,50,344
176548,1,72
176547,1,151
176469,1,27
176468,1,124
176467,1,85
176466,1,100
176465,1,14
176464,1,74
176463,1,31
176461,68,151
